time,concentration
0,0
0.1,2.09E-12
0.2,3.13E-06
0.3,0.001002026
0.4,0.019322359
0.5,0.118362084
0.6,0.404363272
0.7,0.983966434
0.8,1.930498824
0.9,3.274346407
1,5.008822533
1.1,7.101332766
1.2,9.504194776
1.3,12.16306886
1.4,15.0227633
1.5,18.03085496
1.6,21.1397039
1.7,24.3073748
1.8,27.49785778
1.9,30.68086781
2,33.83141126
2.1,36.92924195
2.2,39.95828348
2.3,42.90606303
2.4,45.76318238
2.5,48.52283821
2.6,51.1803964
2.7,53.73301983
2.8,56.17934668
2.9,58.51921494
3,60.75342817
3.1,62.88355752
3.2,64.9117754
3.3,66.84071634
3.4,68.67336127
3.5,70.41294162
3.6,72.06286039
3.7,73.62662739
3.8,75.10780666
3.9,76.50997384
4,77.83668217
4.1,79.09143539
4.2,80.2776667
4.3,81.39872251
4.4,82.45785029
4.5,83.45818974
4.6,84.40276671
4.7,85.29448939
4.8,86.13614628
4.9,86.93040565
5,87.67981622
5.1,88.3868087
5.2,89.0536981
5.3,89.68268662
5.4,90.27586692
5.5,90.83522574
5.6,91.36264769
5.7,91.85991922
5.8,92.3287326
5.9,92.77069002
6,93.18730757
6.1,93.58001923
6.2,93.95018076
6.3,94.29907352
6.4,94.62790817
6.5,94.93782819
6.6,95.2299134
6.7,95.50518322
6.8,95.76459988
6.9,96.00907145
7,96.23945475
7.1,96.45655812
7.2,96.66114406
7.3,96.85393177
7.4,97.03559949
7.5,97.20678682
7.6,97.36809685
7.7,97.5200982
7.8,97.66332693
7.9,97.79828845
8,97.92545914
8.1,98.04528809
8.2,98.15819858
8.3,98.26458959
8.4,98.36483715
8.5,98.45929567
8.6,98.54829918
8.7,98.63216245
8.8,98.71118215
8.9,98.78563784
9,98.85579299
9.1,98.92189588
9.2,98.98418045
9.3,99.04286719
9.4,99.09816384
9.5,99.15026618
9.6,99.19935866
9.7,99.24561513
9.8,99.28919938
9.9,99.33026574
10,99.36895965
10.1,99.40541815
10.2,99.43977036
10.3,99.47213794
10.4,99.50263555
10.5,99.5313712
10.6,99.55844668
10.7,99.5839579
10.8,99.60799521
10.9,99.63064378
11,99.65198382
11.1,99.67209094
11.2,99.69103637
11.3,99.70888721
11.4,99.7257067
11.5,99.74155444
11.6,99.75648655
11.7,99.77055595
11.8,99.78381247
11.9,99.79630308
